dealer,review_text,source,clean_review,word_count,tb_polarity,vader_compound,sentiment
Ed Martin Toyota,"Everyone was so friendly and helpful . They very definitely worked hard with us to get where we needed to be , and they did get there! 
My salesman, Kyle, was very helpful, very patient , and so thoughtful . I would highly
Recommend him . Also the gentleman who did the finance part of it was so good . Very knowledgeable and personable. And the gentleman who delivered my new car to me the next day, couldn’t have been more outgoing or polite . He genuinely
Was happy to deliver my beautiful, new car . And he shook my hand and thanked me for my business . It was a pleasure doing business with them . I will continue to do business with them",DealerRater,"everyone was so friendly and helpful . they very definitely worked hard with us to get where we needed to be , and they did get there! my salesman, kyle, was very helpful, very patient , and so thoughtful . i would highly recommend him . also the gentleman who did the finance part of it was so good . very knowledgeable and personable. and the gentleman who delivered my new car to me the next day, couldn’t have been more outgoing or polite . he genuinely was happy to deliver my beautiful, new car . and he shook my hand and thanked me for my business . it was a pleasure doing business with them . i will continue to do business with them",125,0.2933214962121212,0.9914,Positive
Ed Martin Toyota,"with a smile from the front desk. We were paired with Lucas Simerman as our sales person. Lucas was awesome to work with. He was knowledgeable, respectful and fun to talk to. It was not our intention to purchase a vehicle when we stopped in but after working with Lucas we knew this dealership was the one we wanted to work with. We did purchase a vehicle and finance manager James Schubert made the final process quick and easy. We will return to this location for future purchases.",DealerRater,"with a smile from the front desk. we were paired with lucas simerman as our sales person. lucas was awesome to work with. he was knowledgeable, respectful and fun to talk to. it was not our intention to purchase a vehicle when we stopped in but after working with lucas we knew this dealership was the one we wanted to work with. we did purchase a vehicle and finance manager james schubert made the final process quick and easy. we will return to this location for future purchases.",88,0.3583333333333334,0.8705,Positive
Ed Martin Toyota,vehicle quickly and Darnell made sure to meet all our requirements and concerns and we couldn’t be happier with our experience!,DealerRater,vehicle quickly and darnell made sure to meet all our requirements and concerns and we couldn’t be happier with our experience!,21,0.47916666666666663,0.7177,Positive
Ed Martin Toyota,"handed me the keys, the entire experience was absolutely wonderful! The process was smooth, clear, and stress-free — which is not something you can always say when buying a car. Everyone I interacted with was professional, responsive, and genuinely helpful. I never felt pressured, rushed, or left guessing. I’m so grateful for how easy Thankful and James made everything and would highly recommend this dealership to anyone looking for a positive car-buying experience!",DealerRater,"handed me the keys, the entire experience was absolutely wonderful! the process was smooth, clear, and stress-free — which is not something you can always say when buying a car. everyone i interacted with was professional, responsive, and genuinely helpful. i never felt pressured, rushed, or left guessing. i’m so grateful for how easy thankful and james made everything and would highly recommend this dealership to anyone looking for a positive car-buying experience!",73,0.2877424242424243,0.9834,Positive
Ed Martin Toyota,and not pushy at all towards us as buyers. Calmest but yet the most exciting dealership environment I’ve ever been in!!,DealerRater,and not pushy at all towards us as buyers. calmest but yet the most exciting dealership environment i’ve ever been in!!,21,0.484375,0.8191,Positive
Ed Martin Toyota,Very knowledgeable and thorough! Appreciate his delivering truck and all the instructions.,DealerRater,very knowledgeable and thorough! appreciate his delivering truck and all the instructions.,12,0.25,0.4574,Positive
Ed Martin Toyota,"through the buying process. 

We won't be going anywhere else to buy our Toyotas from now on!

Darnell, thanks for everything!",DealerRater,"through the buying process. we won't be going anywhere else to buy our toyotas from now on! darnell, thanks for everything!",21,0.25,0.5399,Positive
Ed Martin Toyota,"Ryan was responsive, honest, and overall great to work with. I typically hate buying through dealers but this was the complete opposite of all the negatives you typically expect. Thank you again.",DealerRater,"ryan was responsive, honest, and overall great to work with. i typically hate buying through dealers but this was the complete opposite of all the negatives you typically expect. thank you again.",32,0.07619047619047617,0.7469,Positive
Ed Martin Toyota,They care about making customers happy .sales teem are 10 out 10 .finance teem  are 10 ou 10 .mangameant are some of the best around they are iver alm gd team,DealerRater,they care about making customers happy .sales teem are 10 out 10 .finance teem are 10 ou 10 .mangameant are some of the best around they are iver alm gd team,31,0.9,0.9022,Positive
Ed Martin Toyota,"the process seamlessly and efficiently. We found the right truck with all the right features and I was given a fair price and financing terms. I would highly recommend Ed Martin Toyota, and Lane, for any car buying needs.",DealerRater,"the process seamlessly and efficiently. we found the right truck with all the right features and i was given a fair price and financing terms. i would highly recommend ed martin toyota, and lane, for any car buying needs.",39,0.3062857142857143,0.7778,Positive
Ed Martin Toyota,"Martin Toyota.  We worked with Moises Villa and Jason Conn both times.  They're great to work with - patient, friendly, and efficient.  Highly recommend.",DealerRater,"martin toyota. we worked with moises villa and jason conn both times. they're great to work with - patient, friendly, and efficient. highly recommend.",24,0.445,0.9168,Positive
Ed Martin Toyota,"The dealership made the car-buying process easy and comfortable, and everyone was friendly and welcoming. Ryan was especially great to work with; knowledgeable, patient, and genuinely helpful throughout the process. Everything was smooth and clearly explained. I’d absolutely recommend this dealership.",DealerRater,"the dealership made the car-buying process easy and comfortable, and everyone was friendly and welcoming. ryan was especially great to work with; knowledgeable, patient, and genuinely helpful throughout the process. everything was smooth and clearly explained. i’d absolutely recommend this dealership.",41,0.4135416666666667,0.975,Positive
Ed Martin Toyota,"have always used them for service. Mike Ball (sales), Josh (finance) and the rest of the employees are great to work with.",DealerRater,"have always used them for service. mike ball (sales), josh (finance) and the rest of the employees are great to work with.",22,0.8,0.6249,Positive
Kenny Kent Toyota,experence we ever had.,DealerRater,experence we ever had.,4,0.0,0.0,Neutral
Kenny Kent Toyota,"never been disappointed in the product, the sales process or the service department.",DealerRater,"never been disappointed in the product, the sales process or the service department.",13,-0.75,0.3724,Positive
Kenny Kent Toyota,over charged on licenses and title terrible,DealerRater,over charged on licenses and title terrible,7,-1.0,-0.5994,Negative
Kenny Kent Toyota,My salesman Kevin was very informative and great to deal with.,DealerRater,my salesman kevin was very informative and great to deal with.,11,0.5,0.6557,Positive
Kenny Kent Toyota,"Josh Brune helped me every step of the way with exceptional customer service!
Would definitely buy from them again!",DealerRater,josh brune helped me every step of the way with exceptional customer service! would definitely buy from them again!,19,0.41666666666666663,0.508,Positive
Kenny Kent Toyota,find the right vehicle within my budget. Not pushy and truly cared about helping.,DealerRater,find the right vehicle within my budget. not pushy and truly cared about helping.,14,0.2857142857142857,0.528,Positive
Kenny Kent Toyota,when we purchased our 2026 Highlander Hybrid.  He answered all our questions and gave us a “lesson” in operating the Highlander.,DealerRater,when we purchased our 2026 highlander hybrid. he answered all our questions and gave us a “lesson” in operating the highlander.,21,0.0,0.0,Neutral
Kenny Kent Toyota,"wonderful. Our salesman, Chris Brune was very fast and efficient. We do our research and are ready to purchase before we set foot in a dealership so the whole process was simple and great. Absolutely 5 stars across the board!",DealerRater,"wonderful. our salesman, chris brune was very fast and efficient. we do our research and are ready to purchase before we set foot in a dealership so the whole process was simple and great. absolutely 5 stars across the board!",40,0.3871428571428571,0.9281,Positive
Kenny Kent Toyota,service after the sale. Be sure and ask for Josh Brune. He is the best!,DealerRater,service after the sale. be sure and ask for josh brune. he is the best!,15,0.75,0.7777,Positive
Kenny Kent Toyota,"Crisply worked thru trade deal, extended the care plan bumper to bumper and on signing day that process was smooth.  Really great experience.",DealerRater,"crisply worked thru trade deal, extended the care plan bumper to bumper and on signing day that process was smooth. really great experience.",23,0.4833333333333334,0.8221,Positive
Kenny Kent Toyota,"Toyota Rav 4 at Kenny Kent Toyota. Jared our salesman was awesome, the best you could ask for. I would recommend him to anyone who goes to this dealership to purchase a vehicle.",DealerRater,"toyota rav 4 at kenny kent toyota. jared our salesman was awesome, the best you could ask for. i would recommend him to anyone who goes to this dealership to purchase a vehicle.",33,1.0,0.8957,Positive
Kenny Kent Toyota,"The staff was very friendly, knowledgeable, and efficient. I'm loving my new-to-me vehicle!",DealerRater,"the staff was very friendly, knowledgeable, and efficient. i'm loving my new-to-me vehicle!",13,0.61875,0.8881,Positive
Kenny Kent Toyota,what I was look for.  Staff took good care of me and my friend who was with me.,DealerRater,what i was look for. staff took good care of me and my friend who was with me.,18,0.7,0.8519,Positive
Kenny Kent Toyota,Patiently answered my questions & went out of her way to work with me for a good price. I completed my vehicle purchase feeling very satisfied with everything!,DealerRater,patiently answered my questions & went out of her way to work with me for a good price. i completed my vehicle purchase feeling very satisfied with everything!,28,0.75625,0.7773,Positive
Kenny Kent Toyota,our used vehicle. Are new vehicle was clean and ready to go as promised.,DealerRater,our used vehicle. are new vehicle was clean and ready to go as promised.,14,0.23434343434343438,0.7717,Positive
Kenny Kent Toyota,I can say is they are top notch! Nick our salesman was personable and knowledgeable about the vehicles we were interested in. Hands down this experience was a 5⭐️,DealerRater,i can say is they are top notch! nick our salesman was personable and knowledgeable about the vehicles we were interested in. hands down this experience was a 5⭐️,29,0.23981481481481481,0.5848,Positive
